"forbrukergruppe";"år";"Forbruk i alt"
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2004";..
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2005";..
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2006";..
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2007";..
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2008";549
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2009";674
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2010";742
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2011";671
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2012";717
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2013";734
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2014";712
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2015";733
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2016";783
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2017";763
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2018";773
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2019";766
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2020";685
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2021";774
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2022";734
"Kunstnerisk virksomhet, bibliotek mv, sport og fritid";"2023";744
"Aktiviteter i medlemsorganisasjoner";"1993";..
"Aktiviteter i medlemsorganisasjoner";"1994";..
"Aktiviteter i medlemsorganisasjoner";"1995";..
"Aktiviteter i medlemsorganisasjoner";"1996";..
"Aktiviteter i medlemsorganisasjoner";"1997";..
"Aktiviteter i medlemsorganisasjoner";"1998";..
"Aktiviteter i medlemsorganisasjoner";"1999";..
"Aktiviteter i medlemsorganisasjoner";"2000";..
"Aktiviteter i medlemsorganisasjoner";"2001";..
"Aktiviteter i medlemsorganisasjoner";"2002";..
"Aktiviteter i medlemsorganisasjoner";"2003";..
"Aktiviteter i medlemsorganisasjoner";"2004";..
"Aktiviteter i medlemsorganisasjoner";"2005";..
"Aktiviteter i medlemsorganisasjoner";"2006";..
"Aktiviteter i medlemsorganisasjoner";"2007";..
"Aktiviteter i medlemsorganisasjoner";"2008";386
"Aktiviteter i medlemsorganisasjoner";"2009";449
"Aktiviteter i medlemsorganisasjoner";"2010";519
"Aktiviteter i medlemsorganisasjoner";"2011";473
"Aktiviteter i medlemsorganisasjoner";"2012";507
"Aktiviteter i medlemsorganisasjoner";"2013";522
"Aktiviteter i medlemsorganisasjoner";"2014";494
"Aktiviteter i medlemsorganisasjoner";"2015";502
"Aktiviteter i medlemsorganisasjoner";"2016";525
"Aktiviteter i medlemsorganisasjoner";"2017";533
"Aktiviteter i medlemsorganisasjoner";"2018";544
"Aktiviteter i medlemsorganisasjoner";"2019";535
"Aktiviteter i medlemsorganisasjoner";"2020";493
"Aktiviteter i medlemsorganisasjoner";"2021";539
"Aktiviteter i medlemsorganisasjoner";"2022";489
"Aktiviteter i medlemsorganisasjoner";"2023";466
"Tjenesteyting ellers";"1993";..
"Tjenesteyting ellers";"1994";..
"Tjenesteyting ellers";"1995";..
"Tjenesteyting ellers";"1996";..
"Tjenesteyting ellers";"1997";..
"Tjenesteyting ellers";"1998";..
"Tjenesteyting ellers";"1999";..
"Tjenesteyting ellers";"2000";..
"Tjenesteyting ellers";"2001";..
"Tjenesteyting ellers";"2002";..
"Tjenesteyting ellers";"2003";..
"Tjenesteyting ellers";"2004";..
"Tjenesteyting ellers";"2005";..
"Tjenesteyting ellers";"2006";..
"Tjenesteyting ellers";"2007";..
"Tjenesteyting ellers";"2008";1336
"Tjenesteyting ellers";"2009";663
"Tjenesteyting ellers";"2010";616
"Tjenesteyting ellers";"2011";484
"Tjenesteyting ellers";"2012";442
"Tjenesteyting ellers";"2013";378
"Tjenesteyting ellers";"2014";305
"Tjenesteyting ellers";"2015";285
"Tjenesteyting ellers";"2016";253
"Tjenesteyting ellers";"2017";239
"Tjenesteyting ellers";"2018";232
"Tjenesteyting ellers";"2019";231
"Tjenesteyting ellers";"2020";248
"Tjenesteyting ellers";"2021";251
"Tjenesteyting ellers";"2022";248
"Tjenesteyting ellers";"2023";246
"HUSHOLDNINGER OG JORDBRUK";"1993";35194
"HUSHOLDNINGER OG JORDBRUK";"1994";36393
"HUSHOLDNINGER OG JORDBRUK";"1995";36692
"HUSHOLDNINGER OG JORDBRUK";"1996";37272
"HUSHOLDNINGER OG JORDBRUK";"1997";35905
"HUSHOLDNINGER OG JORDBRUK";"1998";37002
"HUSHOLDNINGER OG JORDBRUK";"1999";37051
"HUSHOLDNINGER OG JORDBRUK";"2000";36740
"HUSHOLDNINGER OG JORDBRUK";"2001";38109
"HUSHOLDNINGER OG JORDBRUK";"2002";36762
"HUSHOLDNINGER OG JORDBRUK";"2003";33938
"HUSHOLDNINGER OG JORDBRUK";"2004";34500
"HUSHOLDNINGER OG JORDBRUK";"2005";36145
"HUSHOLDNINGER OG JORDBRUK";"2006";35695
"HUSHOLDNINGER OG JORDBRUK";"2007";37031
"HUSHOLDNINGER OG JORDBRUK";"2008";37226
"HUSHOLDNINGER OG JORDBRUK";"2009";38445
"HUSHOLDNINGER OG JORDBRUK";"2010";41963
"HUSHOLDNINGER OG JORDBRUK";"2011";38056
"HUSHOLDNINGER OG JORDBRUK";"2012";40345
"HUSHOLDNINGER OG JORDBRUK";"2013";40965
"HUSHOLDNINGER OG JORDBRUK";"2014";38882
"HUSHOLDNINGER OG JORDBRUK";"2015";40718
"HUSHOLDNINGER OG JORDBRUK";"2016";42147
"HUSHOLDNINGER OG JORDBRUK";"2017";42853
"HUSHOLDNINGER OG JORDBRUK";"2018";43190
"HUSHOLDNINGER OG JORDBRUK";"2019";43009
"HUSHOLDNINGER OG JORDBRUK";"2020";43094
"HUSHOLDNINGER OG JORDBRUK";"2021";45124
"HUSHOLDNINGER OG JORDBRUK";"2022";40022
"HUSHOLDNINGER OG JORDBRUK";"2023";42932
"Jordbruk, skogbruk og fiske";"1993";1776
"Jordbruk, skogbruk og fiske";"1994";1799
"Jordbruk, skogbruk og fiske";"1995";1914
"Jordbruk, skogbruk og fiske";"1996";1631
"Jordbruk, skogbruk og fiske";"1997";1710
"Jordbruk, skogbruk og fiske";"1998";1692
"Jordbruk, skogbruk og fiske";"1999";1701
"Jordbruk, skogbruk og fiske";"2000";1667
"Jordbruk, skogbruk og fiske";"2001";1742
"Jordbruk, skogbruk og fiske";"2002";1715
"Jordbruk, skogbruk og fiske";"2003";1561
"Jordbruk, skogbruk og fiske";"2004";1639
"Jordbruk, skogbruk og fiske";"2005";1646
"Jordbruk, skogbruk og fiske";"2006";1604
"Jordbruk, skogbruk og fiske";"2007";1591
"Jordbruk, skogbruk og fiske";"2008";1699
"Jordbruk, skogbruk og fiske";"2009";1764
"Jordbruk, skogbruk og fiske";"2010";1903
"Jordbruk, skogbruk og fiske";"2011";1758
"Jordbruk, skogbruk og fiske";"2012";1772
"Jordbruk, skogbruk og fiske";"2013";1787
"Jordbruk, skogbruk og fiske";"2014";1715
"Jordbruk, skogbruk og fiske";"2015";1788
"Jordbruk, skogbruk og fiske";"2016";1876
"Jordbruk, skogbruk og fiske";"2017";1979
"Jordbruk, skogbruk og fiske";"2018";2095
"Jordbruk, skogbruk og fiske";"2019";2133
"Jordbruk, skogbruk og fiske";"2020";2246
"Jordbruk, skogbruk og fiske";"2021";2323
"Jordbruk, skogbruk og fiske";"2022";2180
"Jordbruk, skogbruk og fiske";"2023";2273
"Drivhus/veksthus";"1993";..
"Drivhus/veksthus";"1994";..
"Drivhus/veksthus";"1995";..
"Drivhus/veksthus";"1996";142
"Drivhus/veksthus";"1997";155
"Drivhus/veksthus";"1998";263
"Drivhus/veksthus";"1999";268
"Drivhus/veksthus";"2000";445
"Drivhus/veksthus";"2001";491
"Drivhus/veksthus";"2002";400
"Drivhus/veksthus";"2003";354
"Drivhus/veksthus";"2004";455
"Drivhus/veksthus";"2005";495
"Drivhus/veksthus";"2006";446
"Drivhus/veksthus";"2007";492
"Drivhus/veksthus";"2008";437
"Drivhus/veksthus";"2009";367
"Drivhus/veksthus";"2010";305
"Drivhus/veksthus";"2011";247
"Drivhus/veksthus";"2012";317
"Drivhus/veksthus";"2013";260
"Drivhus/veksthus";"2014";247
"Drivhus/veksthus";"2015";240
"Drivhus/veksthus";"2016";226
"Drivhus/veksthus";"2017";229
"Drivhus/veksthus";"2018";162
"Drivhus/veksthus";"2019";168
"Drivhus/veksthus";"2020";151
"Drivhus/veksthus";"2021";147
"Drivhus/veksthus";"2022";118
"Drivhus/veksthus";"2023";142
"Husholdninger";"1993";32722
"Husholdninger";"1994";33836
"Husholdninger";"1995";33999
"Husholdninger";"1996";34638
"Husholdninger";"1997";33196
"Husholdninger";"1998";34127
"Husholdninger";"1999";34037
"Husholdninger";"2000";33602
"Husholdninger";"2001";34748
"Husholdninger";"2002";33474
"Husholdninger";"2003";30840
"Husholdninger";"2004";31244
"Husholdninger";"2005";32769
"Husholdninger";"2006";32328
"Husholdninger";"2007";33542
"Husholdninger";"2008";33568
"Husholdninger";"2009";34678
"Husholdninger";"2010";37824
"Husholdninger";"2011";34234
"Husholdninger";"2012";36327
"Husholdninger";"2013";36777
"Husholdninger";"2014";34914
"Husholdninger";"2015";36572
"Husholdninger";"2016";37767
"Husholdninger";"2017";38295
"Husholdninger";"2018";38516
"Husholdninger";"2019";38324
"Husholdninger";"2020";38230
"Husholdninger";"2021";39834
"Husholdninger";"2022";35406
"Husholdninger";"2023";38091
"Hytter og fritidshus";"1993";696
"Hytter og fritidshus";"1994";758
"Hytter og fritidshus";"1995";779
"Hytter og fritidshus";"1996";862
"Hytter og fritidshus";"1997";844
"Hytter og fritidshus";"1998";921
"Hytter og fritidshus";"1999";1045
"Hytter og fritidshus";"2000";1026
"Hytter og fritidshus";"2001";1128
"Hytter og fritidshus";"2002";1173
"Hytter og fritidshus";"2003";1183
"Hytter og fritidshus";"2004";1161
"Hytter og fritidshus";"2005";1235
"Hytter og fritidshus";"2006";1317
"Hytter og fritidshus";"2007";1407
"Hytter og fritidshus";"2008";1522
"Hytter og fritidshus";"2009";1635
"Hytter og fritidshus";"2010";1931
"Hytter og fritidshus";"2011";1818
"Hytter og fritidshus";"2012";1929
"Hytter og fritidshus";"2013";2141
"Hytter og fritidshus";"2014";2006
"Hytter og fritidshus";"2015";2118
"Hytter og fritidshus";"2016";2278
"Hytter og fritidshus";"2017";2350
"Hytter og fritidshus";"2018";2417
"Hytter og fritidshus";"2019";2384
"Hytter og fritidshus";"2020";2467
"Hytter og fritidshus";"2021";2819
"Hytter og fritidshus";"2022";2318
"Hytter og fritidshus";"2023";2427
