"forbrukergruppe";"år";"Forbruk i alt"
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2011";14328
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2012";15128
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2013";14947
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2014";14957
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2015";15309
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2016";15549
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2017";16124
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2018";17070
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2019";16663
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2020";16813
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2021";16558
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2022";16997
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2023";18285
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1993";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1994";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1995";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1996";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1997";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1998";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"1999";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2000";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2001";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2002";..
