Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;03.1919;-6,11;-6,84
Region Norge;GR0;04.1919;-2,08;-2,43
Region Norge;GR0;05.1919;5,8;6,16
Region Norge;GR0;06.1919;8,17;9,16
Region Norge;GR0;07.1919;11,41;12,41
Region Norge;GR0;08.1919;8,22;8,3
Region Norge;GR0;09.1919;5,93;5,87
Region Norge;GR0;10.1919;-0,04;-0,37
Region Norge;GR0;11.1919;-6,94;-7,55
Region Norge;GR0;12.1919;-8,76;-9,69
Region Norge;GR0;01.1920;-6,46;-7,63
Region Norge;GR0;02.1920;-3,7;-4,53
Region Norge;GR0;03.1920;-0,86;-1,58
Region Norge;GR0;04.1920;0,35;0
Region Norge;GR0;05.1920;4,97;5,32
Region Norge;GR0;06.1920;7,91;8,91
Region Norge;GR0;07.1920;10,34;11,32
Region Norge;GR0;08.1920;9,35;9,42
Region Norge;GR0;09.1920;6,88;6,82
Region Norge;GR0;10.1920;1,22;0,88
Region Norge;GR0;11.1920;-1,33;-1,92
Region Norge;GR0;12.1920;-4,86;-5,79
Region Norge;GR0;01.1921;-6,32;-7,49
Region Norge;GR0;02.1921;-5,35;-6,21
Region Norge;GR0;03.1921;-1,89;-2,6
Region Norge;GR0;04.1921;1,96;1,61
Region Norge;GR0;05.1921;4,34;4,69
Region Norge;GR0;06.1921;6,41;7,42
Region Norge;GR0;07.1921;9,32;10,31
Region Norge;GR0;08.1921;9,38;9,45
Region Norge;GR0;09.1921;5,31;5,25
Region Norge;GR0;10.1921;1,23;0,9
Region Norge;GR0;11.1921;-4,97;-5,57
Region Norge;GR0;12.1921;-4,21;-5,12
Region Norge;GR0;01.1922;-8,77;-9,97
Region Norge;GR0;02.1922;-7,7;-8,57
Region Norge;GR0;03.1922;-5,44;-6,17
Region Norge;GR0;04.1922;-1,89;-2,26
Region Norge;GR0;05.1922;3,45;3,79
Region Norge;GR0;06.1922;7,65;8,65
Region Norge;GR0;07.1922;10,89;11,87
Region Norge;GR0;08.1922;9,57;9,63
Region Norge;GR0;09.1922;5,87;5,81
Region Norge;GR0;10.1922;0,17;-0,17
Region Norge;GR0;11.1922;-2,75;-3,34
Region Norge;GR0;12.1922;-4,51;-5,43
Region Norge;GR0;01.1923;-3,7;-4,86
Region Norge;GR0;02.1923;-8,58;-9,45
Region Norge;GR0;03.1923;-2,78;-3,51
Region Norge;GR0;04.1923;-1,87;-2,23
Region Norge;GR0;05.1923;1,99;2,33
Region Norge;GR0;06.1923;4,15;5,15
Region Norge;GR0;07.1923;10,49;11,48
Region Norge;GR0;08.1923;8,75;8,82
Region Norge;GR0;09.1923;5,76;5,7
Region Norge;GR0;10.1923;1,55;1,21
Region Norge;GR0;11.1923;-4,74;-5,34
Region Norge;GR0;12.1923;-7,53;-8,47
Region Norge;GR0;01.1924;-5,7;-6,89
Region Norge;GR0;02.1924;-8,88;-9,74
Region Norge;GR0;03.1924;-7,76;-8,5
Region Norge;GR0;04.1924;-2,5;-2,86
Region Norge;GR0;05.1924;2,57;2,92
Region Norge;GR0;06.1924;6,3;7,3
Region Norge;GR0;07.1924;10,96;11,94
Region Norge;GR0;08.1924;11,1;11,17
Region Norge;GR0;09.1924;7,1;7,04
Region Norge;GR0;10.1924;3,38;3,05
Region Norge;GR0;11.1924;-1,33;-1,92
Region Norge;GR0;12.1924;-0,99;-1,9
Region Norge;GR0;01.1925;-2,2;-3,36
Region Norge;GR0;02.1925;-4,75;-5,6
Region Norge;GR0;03.1925;-7,12;-7,86
Region Norge;GR0;04.1925;-0,07;-0,42
Region Norge;GR0;05.1925;3,97;4,32
Region Norge;GR0;06.1925;7,89;8,89
Region Norge;GR0;07.1925;13,45;14,45
Region Norge;GR0;08.1925;10,93;11
Region Norge;GR0;09.1925;6,3;6,24
Region Norge;GR0;10.1925;-0,61;-0,95
Region Norge;GR0;11.1925;-6,1;-6,71
Region Norge;GR0;12.1925;-8,93;-9,87
Region Norge;GR0;01.1926;-6,67;-7,86
Region Norge;GR0;02.1926;-7,41;-8,28
Region Norge;GR0;03.1926;-3,62;-4,34
Region Norge;GR0;04.1926;0,29;-0,06
Region Norge;GR0;05.1926;2,97;3,32
Region Norge;GR0;06.1926;8,12;9,12
Region Norge;GR0;07.1926;10,92;11,91
Region Norge;GR0;08.1926;10,45;10,53
Region Norge;GR0;09.1926;6,07;6,02
Region Norge;GR0;10.1926;-2,35;-2,69
Region Norge;GR0;11.1926;-1,77;-2,35
Region Norge;GR0;12.1926;-6,42;-7,35
Region Norge;GR0;01.1927;-5,49;-6,65
Region Norge;GR0;02.1927;-5,5;-6,36
Region Norge;GR0;03.1927;-3,08;-3,81
Region Norge;GR0;04.1927;-2,24;-2,59
Region Norge;GR0;05.1927;1,1;1,45
Region Norge;GR0;06.1927;5,92;6,91
Region Norge;GR0;07.1927;13,03;14,02
Region Norge;GR0;08.1927;11,56;11,64
Region Norge;GR0;09.1927;5,74;5,68
Region Norge;GR0;10.1927;-0,01;-0,35
Region Norge;GR0;11.1927;-5,73;-6,35
Region Norge;GR0;12.1927;-8,92;-9,87
Region Norge;GR0;01.1928;-5,79;-6,97
Region Norge;GR0;02.1928;-5,62;-6,48
Region Norge;GR0;03.1928;-4,28;-5,02
Region Norge;GR0;04.1928;-0,11;-0,47
