No.;Time;Comment;Scramble;Date;P.1
193;16.21;;D R' F2 D2 F2 B' U' D2 F R2 B U2 D2 R2 F2 B' R2 B L F';2022-02-04 20:57:51;16.21
194;21.32;;R' B L' D2 F' B2 U2 B2 R U' F2 U' L2 B2 U' F2 B2 D L2;2022-02-04 21:00:08;21.32
195;16.73;;U B2 L2 U' B2 D' F2 D' L2 R2 D2 U' B' D2 F' U2 R D F' L' B;2022-02-04 21:01:08;16.73
196;19.96;;D2 L D2 F2 U2 B R2 D2 F R2 B F L2 U2 D' B' D2 L' R2 B F';2022-02-04 21:02:03;19.96
197;15.31;;F2 R2 D B2 U' L2 U' B2 U F2 U' L U' F' D2 B U' R' D2 B;2022-02-04 21:02:53;15.31
198;10.32;;L2 U' F2 R2 B2 L2 D' F2 L2 U' B U' B2 L U' B2 F L2 F' U';2022-02-04 21:04:01;10.32
199;26.73;;F U2 B' L2 U L2 D R2 B2 U F2 D2 L2 B2 F' R' F U' L D';2022-02-04 21:04:28;26.73
200;14.83;;F2 D' U' L2 U' R2 D B2 U' R2 F' L U' R' B L2 U' R2 F2 R2;2022-02-05 13:35:31;14.83
201;22.46;;F L F2 U' B U R D R2 L2 U2 B L2 B L2 D2 B2 D2 B D2 L';2022-02-05 13:36:25;22.46
202;17.43;;U F2 R2 U' L2 F2 U2 F2 D' F2 U B2 R' B2 R2 U B' L' F' D2 F2;2022-02-05 13:37:23;17.43
203;21.62;;B U2 F' D' R U B U L' U' F2 U R2 U' F2 U2 B2 D2 F2;2022-02-23 15:26:13;21.62
204;18.78;;F' D' L2 F2 U2 R2 B2 D2 U' B2 R2 B2 R D2 R U R' B;2022-02-23 15:26:52;18.78
205;27.21;;L' F U' R F L2 F B2 U L2 D2 F2 U2 B' D2 L2 F' D2 F' D2;2022-02-23 15:27:29;27.21
206;22.89;;B2 U' F2 L2 D2 L2 U' L2 F2 D' R D' B' U' B2 R D2 F U' R';2022-02-23 15:28:14;22.89
207;21.47;;R2 F2 D2 U2 B L2 F' L2 F U2 B2 F' R B' L U L R B' F' R';2022-02-23 15:28:55;21.47
208;23.94;;U' R' D' R B' U2 D' B U F2 U2 B R2 F U2 B' L2 D2 B' U2 L2;2022-02-23 15:29:37;23.94
209;20.76;;D' B R' F2 L D2 R' B2 L U2 L F2 L D' L D' B' D' F2 U2 R;2022-02-24 11:23:21;20.76
210;23.03;;R' B' D F2 D' L2 R2 D' B2 R2 D2 U B2 R' B D' U2 R' D2 L' R';2022-03-11 11:17:21;23.03
211;18.42;;U R' D2 B2 L B2 L D2 B2 R2 D2 U2 B2 D' B U L' U R U2;2022-03-18 09:30:29;18.42
212;18.89;;B' L D' F2 L B U D2 F2 B' D2 L2 B' L2 B2 L2 D2 B' R2 L D;2022-03-25 13:35:34;18.89
213;19.83;;F2 R' D2 L2 D R2 B' L2 D' R2 F2 R D2 L' U2 F2 L2 U2 F2 L' D2;2022-04-10 09:13:08;19.83
214;22.20;;L2 F B D' L' D' R F' L' U2 R2 F2 U2 R2 F R2 B L2 B' D2 F;2022-04-10 09:13:55;22.20
215;14.95;;U' R2 D2 L2 F2 U' B2 F2 D U2 B' D' F2 L' U' B U2 B D2 R';2022-04-10 09:14:52;14.95
216;15.45;;U2 F' U2 F2 R2 B L2 F' U2 B D2 R D2 U L' F2 U R' D' F L';2022-04-10 09:17:02;15.45
217;20.61;;L2 B2 F2 U2 L D2 U2 B2 D2 R B D' B2 L R' U F2 D' L;2022-04-10 09:17:53;20.61
