_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
665ec61aca2df5019296e178,,93.23,96.23,96.96,54.93,50;1;0;0,words,10,-1,0,6.44,0,0,false,false,english,none,normal,false,false,false,,1717487130000
665ec611ca2df5019296e120,,94.88,98.11,94.88,62.42,52;0;0;0,words,10,-1,2,6.58,0,3.13,false,false,english,none,normal,false,false,false,,1717487121000
665ec602ca2df5019296e0a1,,113.57,100,113.57,69.03,59;0;0;0,words,10,-1,0,6.23,0,0,false,false,english,none,normal,false,false,false,,1717487106000
665ec5faca2df5019296e05b,,108.91,98.11,117.8,75.18,49;0;0;1,words,10,-1,0,5.4,0,0,false,false,english,none,normal,false,false,false,,1717487098000
665ec5f3ca2df5019296e025,,93.05,89.29,116.31,82.42,44;3;1;1,words,10,-1,0,5.67,0,0,false,false,english,none,normal,false,false,false,,1717487091000
665ec5edca2df5019296dfe4,,116.44,100,116.44,73.63,52;0;0;0,words,10,-1,0,5.36,0,0,false,false,english,none,normal,false,false,false,,1717487085000
665ec5e6ca2df5019296dfb0,,109.33,96.15,116.03,73.63,49;1;0;0,words,10,-1,0,5.38,0,0,false,false,english,none,normal,false,false,false,,1717487078000
665ec5e0ca2df5019296df7a,,107.88,100,107.88,74.31,50;0;0;0,words,10,-1,0,5.56,0,0,false,false,english,none,normal,false,false,false,,1717487072000
665ec5d8ca2df5019296df3b,,129.88,100,129.88,87.01,52;0;0;0,words,10,-1,0,4.8,0,0,false,false,english,none,normal,false,false,false,,1717487064000
665ec5d3ca2df5019296df0e,,131.65,100,131.65,88.8,42;0;0;0,words,10,-1,0,3.83,0,0,false,false,english,none,normal,false,false,false,,1717487059000
665ec0e9ca2df5019296b204,,112.29,96.55,112.29,74.06,56;0;0;0,words,10,-1,0,5.98,0,0,false,false,english,none,normal,false,false,false,,1717485801000
665ec0e2ca2df5019296b1c2,,123.71,100,123.71,69.85,41;0;0;0,words,10,-1,0,3.98,0,0,false,false,english,none,normal,false,false,false,,1717485794000
665ebd8eca2df501929692c9,,152.94,100,152.94,78.8,57;0;0;0,words,10,-1,0,4.47,0,0,false,false,english,none,normal,false,false,false,,1717484942000
665ebd88ca2df50192969294,,126.11,96,126.11,73.88,48;0;0;0,words,10,-1,3,4.57,0,6.91,false,false,english,none,normal,false,false,false,,1717484936000
665ebd78ca2df501929691f7,,163.64,100,163.64,53.01,55;0;0;0,words,10,-1,0,4.03,0,0,false,false,english,none,normal,false,false,false,,1717484920000
665ebd72ca2df501929691be,,158.64,100,158.64,66.9,57;0;0;0,words,10,-1,1,4.31,0,0.81,false,false,english,none,normal,false,false,false,,1717484914000
665ebcf2ca2df50192968d27,,158.18,100,158.18,62.31,55;0;0;0,words,10,-1,3,4.17,0,8.85,false,false,english,none,normal,false,false,false,,1717484786000
665da02b3f4cde2f9d1a4ce3,,111.19,98.63,115.99,86.23,139;0;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1717411883000
665d9f953f4cde2f9d1a47c1,,119.99,100,119.99,86.83,150;0;0;0,time,15,-1,1,15,0,4.81,false,false,english,none,normal,false,false,false,,1717411733000
665d9f7f3f4cde2f9d1a4704,,110.39,95.92,110.39,71.82,138;0;0;0,time,15,-1,3,15,0,12.02,false,false,english,none,normal,false,false,false,,1717411711000
665d9f243f4cde2f9d1a4389,,101.08,98.11,101.08,62.09,52;0;0;0,words,10,-1,0,6.17,0,0,false,false,english,none,normal,false,false,false,,1717411620000
