"kjønn";"alder";"år";"Personer"
"Kvinner";6;1998;30148
"Kvinner";6;1999;29620
"Kvinner";6;2000;29797
"Kvinner";6;2001;29751
"Kvinner";6;2002;29890
"Kvinner";6;2003;30329
"Kvinner";6;2004;29836
"Kvinner";6;2005;29217
"Kvinner";6;2006;29573
"Kvinner";6;2007;29588
"Kvinner";6;2008;28691
"Kvinner";6;2009;28436
"Kvinner";6;2010;29061
"Kvinner";6;2011;29326
"Kvinner";6;2012;29439
"Kvinner";6;2013;30319
"Kvinner";6;2014;30340
"Kvinner";6;2015;31153
"Kvinner";6;2016;31963
"Kvinner";6;2017;31683
"Kvinner";6;2018;30893
"Kvinner";6;2019;30713
"Kvinner";6;2020;30118
"Kvinner";6;2021;29686
"Kvinner";6;2022;29528
"Kvinner";6;2023;29714
"Kvinner";6;2024;28797
"Kvinner";6;2025;28188
"Kvinner";7;1986;25409
"Kvinner";7;1987;25361
"Kvinner";7;1988;25101
"Kvinner";7;1989;25438
"Kvinner";7;1990;25238
"Kvinner";7;1991;24632
"Kvinner";7;1992;25038
"Kvinner";7;1993;25360
"Kvinner";7;1994;26044
"Kvinner";7;1995;27064
"Kvinner";7;1996;28447
"Kvinner";7;1997;29287
"Kvinner";7;1998;30252
"Kvinner";7;1999;30233
"Kvinner";7;2000;29779
"Kvinner";7;2001;29812
"Kvinner";7;2002;29788
"Kvinner";7;2003;30053
"Kvinner";7;2004;30427
"Kvinner";7;2005;29909
"Kvinner";7;2006;29358
"Kvinner";7;2007;29682
"Kvinner";7;2008;29773
"Kvinner";7;2009;28892
"Kvinner";7;2010;28598
"Kvinner";7;2011;29245
"Kvinner";7;2012;29516
"Kvinner";7;2013;29637
"Kvinner";7;2014;30509
"Kvinner";7;2015;30506
"Kvinner";7;2016;31318
"Kvinner";7;2017;32158
"Kvinner";7;2018;31870
"Kvinner";7;2019;30910
"Kvinner";7;2020;30789
"Kvinner";7;2021;30159
"Kvinner";7;2022;29782
"Kvinner";7;2023;29958
"Kvinner";7;2024;30029
"Kvinner";7;2025;28988
"Kvinner";8;1986;25086
